sozlesme_hesap_no;toplam_tuketim_kwh;ortalama_tuketim_kwh;medyan_tuketim_kwh;standart_sapma_kwh;minimum_tuketim_kwh;maksimum_tuketim_kwh;fatura_kayit_sayisi;ilce;hesap_sinifi;aktif_donem_sayisi;ilk_donem;son_donem;toplam_tuketim_yuzdelik;tuketim_segmenti
8376434089;9876,8;156,77460317460316;153,71;54,34504852731999;26,33;269,15;63;GÖYNÜCEK;Mesken;31;2023-01-01;2025-07-01;97,09791445740544;En yüksek %5
3331988645;9874,01;159,2582258064516;138,22;99,74520654120766;71,61;599,14;62;GÜMÜŞHACIKÖY;Mesken;31;2023-01-01;2025-07-01;97,09437963944858;En yüksek %5
3968592387;9870,45;173,1657894736842;175,4;57,797461725882805;33,89;332,18;57;GÖYNÜCEK;Mesken;28;2023-04-01;2025-07-01;97,0908448214917;En yüksek %5
5925869375;9864,33;161,71032786885246;149,2;69,59592322751894;0,0;387,07;61;GÖYNÜCEK;Mesken;31;2023-01-01;2025-07-01;97,08731000353482;En yüksek %5
8792604759;9860,92;159,04709677419356;136,075;81,72525504851349;51,04;422,38;62;GÜMÜŞHACIKÖY;Mesken;31;2023-01-01;2025-07-01;97,08377518557795;En yüksek %5
3431072757;9859,47;161,6306557377049;164,68;38,000231177755246;68,96;272,59;61;GÖYNÜCEK;Mesken;31;2023-01-01;2025-07-01;97,08024036762106;En yüksek %5
3998201831;9854,44;158,94258064516129;149,485;44,5485719053357;76,12;265,66;62;GÖYNÜCEK;Mesken;31;2023-01-01;2025-07-01;97,07670554966418;En yüksek %5
6654304120;9849,99;164,16649999999998;157,735;50,29900695939926;90,58;293,97;60;GÜMÜŞHACIKÖY;Mesken;31;2023-01-01;2025-07-01;97,07317073170731;En yüksek %5
8080576143;9828,23;169,45224137931035;146,56;122,14153380751772;0,0;614,19;58;GÖYNÜCEK;1 SAYILI CETVELDE YER ALAN KAMU İDARESİ;31;2023-01-01;2025-07-01;97,06963591375045;En yüksek %5
3333685501;9810,01;158,22596774193548;143,8;48,41912904260923;90,41;242,8;62;GÜMÜŞHACIKÖY;Mesken;31;2023-01-01;2025-07-01;97,06610109579357;En yüksek %5
